code,first_name,second_name,web_name,whoscored
52538,Fernando Francisco,Reges,Fernando,31958
52775,Nicolas,Nkoulou,Nkoulou,43834
52940,Daryl,Janmaat,Janmaat,32323
53371,David,Meyler,Meyler,41589
54102,Jack,Wilshere,Wilshere,42686
54284,Chris,Löwe,Löwe,101664
54316,Leonardo,Ulloa,Ulloa,19847
54421,Floyd,Ayité,Ayité,42572
54469,Adam,Smith,Smith,69877
54484,Francisco,Femenía Far,Femenía,75919
54513,Vicente,Iborra,Iborra,34052
54527,Loïc,Damour,Damour,294510
54694,Pierre-Emerick,Aubameyang,Aubameyang,44120
54738,Thomas,Kaminski,Kaminski,64342
54756,Victor,Wanyama,Wanyama,71714
54764,Jonathan,Kodjia,Kodjia,68862
54771,Fabio Pereira,da Silva,Fabio,44031
54861,Christian,Benteke,Benteke,68312
54908,Nacer,Chadli,Chadli,34302
55037,Cheikhou,Kouyaté,Kouyaté,66741
55038,Kevin,McDonald,McDonald,20100
55317,Bernardo,Espinosa Zúñiga,Bernardo,67327
55422,Gylfi,Sigurdsson,Sigurdsson,69346
55452,Yannick,Bolasie,Bolasie,69844
55459,Aaron,Cresswell,Cresswell,68049
55494,Joel,Ward,Ward,43105
55605,Toby,Alderweireld,Alderweireld,69933
55829,Claudio,Yacob,Yacob,35691
55909,Chris,Smalling,Smalling,71345
55914,Liam,Cooper,Cooper,44148
56192,Rhu-endly,Martina,Cuco Martina,43712
56377,Andriy,Yarmolenko,Yarmolenko,41672
56827,Costel,Pantilimon,Pantilimon,43948
56864,Francis,Coquelin,Coquelin,69738
56872,Junior,Stanislas,Stanislas,69912
56917,Steve,Cook,Cook,68662
56979,Jordan,Henderson,Henderson,68659
56981,Joe,Bennett,Bennett,68658
56983,Matt,Ritchie,Ritchie,68648
57001,Wilfried,Bony,Bony,42705
57112,Eliaquim,Mangala,Mangala,68852
57127,Teemu,Pukki,Pukki,25028
57134,Salomón,Rondón,Rondón,25964
57145,Federico,Fernández,Fernández,44847
57187,Giedrius,Arlauskis,Arlauskis,66957
57249,Henrikh,Mkhitaryan,Mkhitaryan,28421
57328,Nathaniel,Clyne,Clyne,69375
57410,Nicolás,Otamendi,Otamendi,75691
57513,Jonas,Lössl,Lössl,131171
57531,Michail,Antonio,Antonio,69517
57586,Luciano,Narsingh,Narsingh,69525
57647,Lyle,Taylor,Lyle Taylor,134189
57736,Jan,Kirchhoff,Kirchhoff,69609
58376,Alex,McCarthy,McCarthy,38577
58498,Odion,Ighalo,Ighalo,31376
58621,Kyle,Walker,Walker,69778
58771,Jack,Colback,Colback,69867
58786,Martin,Kelly,Kelly,44687
58791,Ryan,Mason,Mason,69878
58822,Cédric,Alves Soares,Cédric,69945
58845,Ciaran,Clark,Clark,70099
58877,Daley,Blind,Blind,70033
58893,Marcos,Rojo,Rojo,70050
59044,Adam,Clayton,Clayton,70140
59115,Mile,Jedinak,Jedinak,13727
59125,Connor,Wickham,Wickham,73382
59735,Karl,Darlow,Darlow,70483
59741,Max,Gradel,Gradel,29814
59779,Pedro,Obiang,Obiang,70676
59796,Gökhan,Töre,Töre,71015
59846,Ander,Herrera,Herrera,71174
59856,Abel,Hernández,Hernández,32741
59859,İlkay,Gündoğan,Gündoğan,77464
59940,Kyle,Bartley,Bartley,71327
59949,Séamus,Coleman,Coleman,31826
59966,Alexandre,Lacazette,Lacazette,73078
60025,James,Rodríguez,James,71182
60165,Wahbi,Khazri,Khazri,71381
60232,Craig,Dawson,Dawson,73063
60252,Andros,Townsend,Townsend,71522
60270,Simone,Zaza,Zaza,71647
60307,Pascal,Groß,Groß,71824
60551,Ashley,Westwood,Westwood,79050
60586,Jóhann Berg,Gudmundsson,Gudmundsson,41868
60598,Aleksandar,Dragovic,Dragovic,40560
60689,Chris,Wood,Wood,73380
60706,Adrián,San Miguel del Castillo,Adrián,73399
60772,Thibaut,Courtois,Courtois,73798
60914,Joel,Matip,Matip,74341
61256,Carlos Henrique,Casimiro,Casemiro,88526
61262,Oscar,dos Santos Emboaba Junior,Oscar,41065
61302,Ryan,Allsop,Allsop,74586
61316,Jose Luis,Mato Sanmartín,Joselu,74603
61366,Kevin,De Bruyne,De Bruyne,73084
61548,Manolo,Gabbiadini,Gabbiadini,74921
61558,Thiago,Alcántara do Nascimento,Thiago,74939
61566,Roberto,Pereyra,Pereyra,90000
61595,Marc,Muniesa,Muniesa,75177
61600,Romaine,Sawyers,Sawyers,75200
61603,Daniel,Drinkwater,Drinkwater,75138
61604,Matty,James,James,75198
61739,Maxime,Le Marchand,Le Marchand,236523
61760,Kristoffer,Nordfeldt,Nordfeldt,26236
61810,Pontus,Jansson,Jansson,121123
61858,Mame Biram,Diouf,Diouf,26013
61916,Stefan,Johansen,Johansen,27579
61933,Shane,Duffy,Duffy,75692
62398,Nemanja,Matic,Matic,38128
62399,Dusan,Tadic,Tadic,29474
62974,Erik,Lamela,Lamela,75830
63370,James,McClean,McClean,76050
63426,Enda,Stevens,Stevens,42266
66242,Davy,Pröpper,Pröpper,77429
66247,Marvin,Zeegelaar,Zeegelaar,78152
66588,Luke,Ayling,Ayling,82877
66749,Romelu,Lukaku Bolingoli,Lukaku,78498
66797,Simon,Mignolet,Mignolet,52197
66838,Cenk,Tosun,Tosun,77438
66842,André,Schürrle,Schürrle,77461
66975,Luka,Milivojevic,Milivojevic,70493
67089,Martin,Dúbravka,Dúbravka,46092
67527,Allan-Roméo,Nyom,Nyom,91434
68312,Xherdan,Shaqiri,Shaqiri,76304
68983,Matthew,Lowton,Lowton,80067
69140,Shkodran,Mustafi,Mustafi,80921
69143,Juraj,Kucka,Kucka,32514
69752,Norberto,Murara Neto,Neto,76202
69960,Philipp,Wollscheid,Wollscheid,86173
71738,Marco,Stiepermann,Stiepermann,82699
72147,Marco,Bizot,M.Bizot,83824
72222,Mateusz,Klich,Klich,69638
72681,Denis,Odoi,Odoi,68335
73314,Willian José,Da Silva,Willian José,77636
73426,Andre,Gray,Gray,131487
73459,Ashley Darel Jazz,Richards,Jazz Richards,78089
73494,Grzegorz,Krychowiak,Krychowiak,67424
73889,Diafra,Sakho,Sakho,83297
74033,Sam,Clucas,Clucas,134459
74208,Paul,Pogba,Pogba,97752
74230,Patrick,van Aanholt,van Aanholt,78221
74297,Leandro,Bacuna,Bacuna,79967
74375,Ezequiel,Schelotto,Schelotto,79442
74471,Aaron,Mooy,Mooy,318153
74854,Simon,Moore,Moore,131498
74944,Sam,Morsy,Morsy,134666
75115,Callum,Wilson,Wilson,134115
75773,Chung-yong,Lee,Lee Chung-yong,42915
75826,Danny,Ward,Ward,78471
75880,Daniel,Ayala,Ayala,78559
76306,Lukas,Rupp,Rupp,79533
76357,Tom,Cairney,Cairney,79583
76359,Phil,Jones,Jones,81726
76360,Nathaniel,Mendez-Laing,Mendez-Laing,87393
76542,Sung-yueng,Ki,Ki Sung-yueng,42916
77359,Florian,Lejeune,Lejeune,80758
77454,Fabio,Borini,Borini,80882
77762,Bryan,Oviedo,Oviedo,83455
77777,Ahmed El-Sayed,Hegazy,Hegazi,108724
77794,Kieran,Trippier,Trippier,83078
77818,James,Shea,Shea,94017
78007,Joshua,King,King,81026
78056,Oriol,Romeu Vidal,Romeu,90780
78091,Gastón,Ramírez,Ramírez,82923
78315,Joel,Robles,Robles,81681
78356,Charlie,Austin,Austin,82102
78412,Shinji,Okazaki,Okazaki,26222
78607,Kenny,McLean,McLean,82917
78830,Harry,Kane,Kane,83532
78911,Kadeem,Harris,Harris,135772
78916,Dan,Burn,Burn,82277
79228,Pape,Souaré,Souaré,79970
79602,Daniel,Bentley,Bentley,134543
79619,Jonathan,Hogg,Hogg,82593
79733,Scott,Malone,Malone,74077
79852,Jed,Steer,Steer,82745
79934,Oliver,Norwood,Norwood,90324
80146,Jordan,Ayew,J.Ayew,67491
80179,Adam,Forshaw,Forshaw,82972
80183,Luke,Garbutt,Garbutt,82965
80201,Bernd,Leno,Leno,92173
80226,Serge,Aurier,Aurier,83683
80254,Carl,Jenkinson,Jenkinson,91879
80447,Maya,Yoshida,Yoshida,37204
80607,Christian,Eriksen,Eriksen,69344
80755,Danny,Williams,Williams,83335
80789,Jordi,Amat,Amat,83357
80792,Greg,Cunninghamm,Cunningham,83394
80801,Idrissa Gana,Gueye,Gana,80464
80935,Papy,Djilobodji,Djilobodji,83456
80954,Rodrigo,Moreno,Rodrigo,83459
81012,Ryan,Fredericks,Fredericks,83554
81048,Josip,Drmic,Drmic,83588
81061,Michael,Simões Domingues,Mika,83601
81183,Matej,Vydra,Vydra,84129
81205,Mislav,Orsic,Orsic,141670
81441,Mark,Gillespie,Gillespie,134640
81880,Alex,Oxlade-Chamberlain,Chamberlain,84146
82078,Kenneth,Zohore,Zohore,83621
82143,Wes,Foderingham,Foderingham,134482
82257,Raphael,Spiegel,Spiegel,84796
82263,Marcos,Alonso,Alonso,84008
82403,Wilfried,Zaha,Zaha,85059
82428,Marten,de Roon,de Roon,85070
82514,Tim,Ream,Ream,85006
82691,George,Baldock,Baldock,134244
82738,Luke,Berry,Berry,139864
82771,Markus,Henriksen,Henriksen,69090
83091,Borja,González Tomás,Bastón,106872
83283,Nathan,Redmond,Redmond,86425
83299,Lewis,Dunk,Dunk,86441
83312,Ben,Gibson,Gibson,86458
83314,Jeff,Hendrick,Hendrick,86454
83427,Jack,Robinson,Robinson,86594
83428,Grant,Hanley,Hanley,86593
83543,Anthony,Knockaert,Knockaert,86794
84112,Collin,Quaner,Quaner,90996
84182,Alphonse,Areola,Areola,92516
84384,Timm,Klose,Klose,77114
84395,Florin,Gardos,Gardos,92331
84450,Granit,Xhaka,Xhaka,89401
84583,Philippe,Coutinho Correia,Coutinho,80767
84915,Michael,Hector,Hector,91840
84939,Danny,Ings,Ings,91762
85017,Tendayi,Darikwa,Darikwa,134668
85128,Connor,Goldson,Goldson,134258
85242,Conor,Hourihane,Hourihane,134172
85352,Bruno,Martins Indi,Martins Indi,90810
85368,Christopher,Schindler,Schindler,132360
85624,Christian,Kabasele,Kabasele,68393
85633,Matz,Sels,Sels,78386
85654,Jordy,Clasie,Clasie,90802
85955,Jorge Luiz,Frello Filho,Jorginho,106968
85971,Son,Heung-min,Son,91909
86129,Kalidou,Koulibaly,Koulibaly,90880
86153,Martín,Montoya,Montoya,91387
86173,Manuel,Agudo Durán,Nolito,91267
86176,Tom,Ince,Ince,90918
86417,Jeffrey,Schlupp,Schlupp,91822
86873,Benjamin,Lecomte,Lecomte,89928
86881,Nampalys,Mendy,Mendy,90278
86934,Manuel,Lanzini,Lanzini,89998
87107,Cyrus,Christie,Christie,134111
87121,Kieron,Freeman,Freeman,91825
87396,Moritz,Leitner,Leitner,91159
87428,Elias,Kachunga,Kachunga,92804
87447,Muhamed,Bešić,Bešić,90983
87835,Matt,Doherty,Doherty,94042
87856,Michael,Hefele,Hefele,104035
87873,Stuart,Dallas,Dallas,134143
88170,Jiri,Skalak,Skalak,90549
88175,Lovre,Kalinic,Kalinic,139533
88248,Stefan,Ortega Moreno,Ortega Moreno,133569
88482,Álvaro,Morata,Morata,91213
88484,Pablo,Sarabia,Sarabia,94868
88498,Benik,Afobe,Afobe,93647
88734,Neil,Etheridge,Etheridge,91953
88894,Ross,Barkley,Barkley,92547
88900,Jack,Stephens,Stephens,92550
89068,Layvin,Kurzawa,Kurzawa,92795
89076,Remo,Freuler,Freuler,302691
89085,Nathaniel,Chalobah,Chalobah,92729
89274,José Ignacio,Peleteiro Romallo,Jota,10447
89335,Saúl,Ñíguez,Saúl,112161
89470,Onel,Hernández,Hernández,92916
89572,Denis,Suárez,Suárez,106525
90105,Ryan,Fraser,Fraser,93160
90152,Raphaël,Varane,R.Varane,93206
90263,James,Husband,Husband,93309
90440,Tom,Trybull,Trybull,96853
90517,Robbie,Brady,Brady,93473
90518,Ravel,Morrison,Morrison,93475
90585,Willy,Boly,Boly,97587
90714,Ahmed,Musa,Musa,93577
91046,Cauley,Woodrow,Woodrow,138641
91047,Stuart,Armstrong,S.Armstrong,93677
91126,Will,Keane,Keane,107940
91651,Mateo,Kovačić,Kovačić,93894
91889,Niclas,Füllkrug,Füllkrug,104058
91972,Saido,Berahino,Berahino,94024
91979,Jon,Flanagan,Flanagan,94030
92159,Jetro,Willems,Willems,94885
92170,Massadio,Haidara,Haidara,94892
92217,Roberto,Firmino,Firmino,96182
92259,Neeskens,Kebano,Kebano,94933
92293,Omar,Elabdellaoui,Elabdellaoui,94936
92371,Pablo,Marí Villar,Pablo Marí,141032
92383,Nahki,Wells,Wells,122554
93001,Konstantinos,Stafylidis,Stafylidis,106486
93100,Jannik,Vestergaard,Vestergaard,87182
93127,Jesé,Rodríguez Ruiz,Jesé,106028
93264,Eric,Dier,Dier,117973
93284,Florin,Andone,Andone,255183
93464,Tom,Carroll,Carroll,90907
94147,Conor,Coady,Coady,97710
94245,Michy,Batshuayi,Batshuayi,97803
94248,Sergio,Rico,Rico,109338
94924,Gerard,Deulofeu,Deulofeu,98317
94926,Freddie,Ladapo,Ladapo,141931
95463,Danny,Ward,Ward,99165
95508,Fredrik,Ulvestad,Ulvestad,78193
95658,Harry,Maguire,Maguire,99487
95715,Lucas,Rodrigues Moura da Silva,Lucas Moura,92508
96305,Jay,Fulton,Fulton,145999
96306,Stephen,Kingsley,Kingsley,100718
96764,M'Baye,Niang,Niang,58761
96767,Dimitri,Foulquier,Foulquier,101084
96778,Adam,Reach,Reach,101135
96784,Jordan,Clark,Clark,100594
